timestamp,ms_played,track_name,artist_name,album_name,track_uri
2012-06-10T19:24:15Z,225280,Inside Your Heaven (Bonus Track),Carrie Underwood,Some Hearts,spotify:track:3w8xlZi49MQuQkyyB5bi5e
2012-06-11T23:17:36Z,245893,All This And Heaven Too,Florence + The Machine,Ceremonials,spotify:track:74GJoiemPE1VOyN9nVFs6k
2012-06-11T23:22:13Z,276493,Leave My Body,Florence + The Machine,Ceremonials,spotify:track:2raJ2K9ftqAHHC5JnBe6bX
2012-06-11T23:26:45Z,241106,Remain Nameless,Florence + The Machine,Ceremonials,spotify:track:0M15sFSsMfO5Js7FT7EjZg
2012-06-11T23:32:00Z,315453,Strangeness And Charm,Florence + The Machine,Ceremonials,spotify:track:4GFIc2Gl3fD41Dre4ZyOEC
2012-06-17T22:55:13Z,186179,I Told You So,Carrie Underwood,Carnival Ride,spotify:track:3ZK8icmaq8PMW686smPDVL
2012-06-24T19:37:27Z,394213,Where Have You Been - Hardwell Club Mix,Rihanna,Where Have You Been,spotify:track:2jubJDJlUK7xz5ClvU10Ug
2012-06-24T19:44:02Z,394213,Where Have You Been - Hardwell Instrumental,Rihanna,Where Have You Been,spotify:track:0kwq6Yl5RacDDcVcbI64yX
2012-06-24T19:54:38Z,257093,Banjo,Rascal Flatts,Banjo,spotify:track:12aB7rJIwjLVxvgZlkZuqG
2012-06-24T21:13:21Z,231466,Payphone,Maroon 5,Payphone,spotify:track:0iyEaciAmtiv8xMkBg97Fy
2012-06-24T21:20:27Z,424941,Wide Awake,Katy Perry,Teenage Dream: The Complete Confection,spotify:track:5JLv62qFIS1DR3zGEcApRt
2012-06-24T21:25:09Z,250626,We Are Young (feat. Janelle Monáe),fun.,Some Nights,spotify:track:7a86XRg84qjasly9f6bPSD
2012-06-25T01:26:29Z,204863,Give Your Heart a Break,Demi Lovato,Unbroken,spotify:track:3sP3c86WFjOzHHnbhhZcLA
2012-06-25T01:29:35Z,183387,Part Of Me,Katy Perry,Teenage Dream: The Complete Confection,spotify:track:1nZzRJbFvCEct3uzu04ZoL
2012-06-25T01:40:04Z,204857,Drink on It,Blake Shelton,Red River Blue,spotify:track:7haN4XreV4WkoBQmkYM709
2012-06-30T02:59:41Z,244266,Lights,Ellie Goulding,An Introduction To Ellie Goulding EP,spotify:track:11ozIUBoXAgRTVWelDn4pL
2012-06-30T19:46:56Z,268560,Temporary Home,Carrie Underwood,Play On,spotify:track:48X36HonaPQWssOKksHep2
2012-06-30T19:55:04Z,219973,I Don't Want This Night To End,Luke Bryan,Tailgates & Tanlines,spotify:track:0cV4xwUA4ue2deqq4CZFko
2012-06-30T21:34:52Z,229413,Dirt Road Anthem,Jason Aldean,My Kinda Party,spotify:track:0adTN3vBO3pimO3yfxm9vg
2012-06-30T21:39:38Z,284973,My Kinda Party,Jason Aldean,My Kinda Party,spotify:track:4iKllrl3J1GMiFocU57cN4
2012-06-30T21:47:57Z,256440,Don't You Wanna Stay,Jason Aldean,My Kinda Party,spotify:track:2CAf7WlHg8SlMLHmt55pqs
2012-06-30T21:51:38Z,220573,She's Country,Jason Aldean,Wide Open,spotify:track:4A6IgELhUNZIJ38kMUB4pC
2012-06-30T23:30:06Z,222858,Bless The Broken Road,Rascal Flatts,Feels Like Today,spotify:track:4YjjNHtEsTX6Af4mCTupT5
2012-07-01T20:19:19Z,205249,Somethin' 'Bout A Truck,Kip Moore,Up All Night,spotify:track:6Ymvlzom4TQeoKqAWsZRD8
2012-07-01T21:15:46Z,202466,Tattoos on This Town,Jason Aldean,My Kinda Party,spotify:track:6tYDCQHRZUMH6kqlxrYeGn
2012-07-01T21:19:54Z,247493,My Wish - Instrumental,Rascal Flatts,Artist Karaoke Series: Rascal Flatts,spotify:track:0IofsMdQCmFsU5Tf3CIa1W
2012-07-01T21:24:22Z,267253,Take Me There - Instrumental,Rascal Flatts,Artist Karaoke Series: Rascal Flatts,spotify:track:1DKdPJHHjakFsJ7P6E7arW
2012-07-01T21:32:42Z,242750,Here Comes Goodbye,Rascal Flatts,Unstoppable,spotify:track:5YSW99IUAIiAj243jF7PBO
2012-07-01T21:36:17Z,214106,What Hurts The Most,Rascal Flatts,Me And My Gang,spotify:track:4bVuIlGQBMWS7vIhcx8Ae4
2012-07-01T21:59:10Z,208240,Feel Like a Rock Star (Duet with Tim McGraw),Kenny Chesney,Welcome To The Fishbowl,spotify:track:6IwjYtPMOebrz61UEayrrS
2012-07-01T22:02:51Z,220520,Even If It Breaks Your Heart,Eli Young Band,Life At Best,spotify:track:0Nu9WA8kEbBWEsay2s8Q0U
2012-07-01T22:10:41Z,232903,(Kissed You) Good Night,Gloriana,[Kissed You] Good Night,spotify:track:3d1Hbu6v1uJ2rTClxKYYRl
2012-07-01T22:14:16Z,215146,Postcard From Paris,The Band Perry,The Band Perry,spotify:track:3xltN99Cj2KF5AZFhjDibh
2012-07-01T22:17:20Z,182893,5-1-5-0,Dierks Bentley,Home,spotify:track:2WKCH4ISejDV9ad7iPp5XU
2012-07-01T22:21:29Z,248426,Come Over,Kenny Chesney,Welcome To The Fishbowl,spotify:track:6BCrbWBpb8d6KWmEqZ41tr
2012-07-02T00:49:46Z,252373,New Heights,A Fine Frenzy,Bomb In A Birdcage,spotify:track:1q4D508oAX4Zbd09ENTuMV
2012-07-02T00:58:27Z,249746,Blow Away,A Fine Frenzy,Bomb In A Birdcage,spotify:track:2phwpCR68nWlTy8ao0PnK2
2012-07-02T01:05:09Z,190873,Swan Song,A Fine Frenzy,Bomb In A Birdcage,spotify:track:1VI09Q7vV9oHO4XAkMgxHs
2012-07-02T01:12:30Z,224093,Lifesize,A Fine Frenzy,One Cell In The Sea,spotify:track:4iFFgtwPeDWLoxKyxe7y5U
2012-07-02T01:20:36Z,211167,Hope For The Hopeless,A Fine Frenzy,One Cell In The Sea,spotify:track:31iARNhDBopdslmiWpa1hh
2012-07-02T02:18:50Z,214917,Lover To Lover,Florence + The Machine,Ceremonials,spotify:track:1LsZVVQxkbmL9izqfy1RRK
